Jurisidction Name,Key Law Original Title,Key Law English Translated Title ,Key Law Corpus Identifier,In Effect/Repealed/NYIF (Not Yet In Force),Originally Passed ,Currently Applicable,"Sector: Public, Private, or Both (From Tables) ",First Privacy Law,This Law Promulgated,Last: Latest Revision,International Agreements (From Tables),Member (From Tables),Original Language,Document Source: Original ,Government Website? ,Document Source: English ,Translation Type ,Starting Source,Plain Text File Directory File Path ,Date of Retrieval of Original,Date of Retrieval of English Translation,Comments/Notes,
European Union,Regulation (EU) 2016/679 (General Data Protection Regulation),[Not Applicable],Regulation (EU) 2016_679 (General Data Protection Regulation).txt,In Effect,European Union,European Union,[Not Applicable],2018,2018,2018,[Not Applicable],[Not Applicable],English,https://gdpr-info.eu,Y,[Not Applicable],[Not Applicable],[Not Applicable],gpi-corpus/laws/plain text files/english text files/ original english text files,6/14/21,6/14/21,[Not Applicable],
"CoE + Uruguay, Mauritius, Senegal, Tunisia",Council of Europe Convention 108+,[Not Applicable],Council of Europe Convention 108+.txt,In Effect,"CoE + Uruguay, Mauritius, Senegal, Tunisia","CoE + Uruguay, Mauritius, Senegal, Tunisia",[Not Applicable],1981,1981,1999. 108+ is technically a very revised version of 108,[Not Applicable],[Not Applicable],English,https://www.europarl.europa.eu/meetdocs/2014_2019/plmrep/COMMITTEES/LIBE/DV/2018/09-10/Convention_108_EN.pdf,Y,[Not Applicable],[Not Applicable],https://www.coe.int/en/web/data-protection/convention108-and-protocol,gpi-corpus/laws/plain text files/english text files/original english text files,6/14/21,6/14/21,[Not Applicable],
"CoE + Uruguay, Mauritius, Senegal, Tunisia",Additional Protocol to the Convention for the Protection of Individuals with regard to Automatic Processing of Personal Data regarding supervisory authorities and transborder data flows (Council of Europe Convention 108+),[Not Applicable],Additional Protocol to the Convention for the Protection of Individuals with regard to Automatic Processing of Personal Data regarding supervisory authorities and transborder data flows (Council of Europe Convention 108+).txt,In Effect,"CoE + Uruguay, Mauritius, Senegal, Tunisia","CoE + Uruguay, Mauritius, Senegal, Tunisia",[Not Applicable],2018,2018,2018,[Not Applicable],[Not Applicable],English,https://rm.coe.int/CoERMPublicCommonSearchServices/DisplayDCTMContent?documentId=0900001680080626,Y,[Not Applicable],[Not Applicable],[Not Applicable],gpi-corpus/laws/plain text files/english text files/original english text files,5/28/21,5/28/21,[Not Applicable],
African Union,African Union Convention on Cyber Security and Personal Data,[Not Applicable],African Union Convention on Cyber Security and Personal Data.txt,In Effect,African Union,African Union,[Not Applicable],2014,2014,2014,[Not Applicable],[Not Applicable],English,https://au.int/sites/default/files/treaties/29560-treaty-0048_-_african_union_convention_on_cyber_security_and_personal_data_protection_e.pdf,Y,[Not Applicable],[Not Applicable],[Not Applicable],gpi-corpus/laws/plain text files/english text files/original english text files,6/25/21,6/25/21,[Not Applicable],
Africa,Supplementary Act on Personal Data Protection within ECOWAS,[Not Applicable],Supplementary Act on Personal Data Protection within ECOWAS.txt,In Effect,Africa,Africa,[Not Applicable],2010,2010,2010,[Not Applicable],[Not Applicable],English,https://www.statewatch.org/media/documents/news/2013/mar/ecowas-dp-act.pdf,N,[Not Applicable],[Not Applicable],[Not Applicable],gpi-corpus/laws/plain text files/english text files/original english text files,6/25/21,6/25/21,[Not Applicable],
Asia-Pacific Economic Cooperation,APEC-CBPRS (Cross-Border Privacy Rules System),[Not Applicable],APEC-CBPRS (Cross-Border Privacy Rules System).txt,In Effect,Asia-Pacific Economic Cooperation,Asia-Pacific Economic Cooperation,[Not Applicable],2011,2011,2011,[Not Applicable],[Not Applicable],English,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwjfq8f-56fxAhXbMlkFHWPxCT4QFjABegQIBBAE&url=https%3A%2F%2Fwww.apec.org%2Fgroups%2Fcommittee-on-trade-and-investment%2F~%2Fmedia%2Ffiles%2Fgroups%2Fecsg%2Fcbpr%2Fcbpr-policiesrulesguidelines.ashx&usg=AOvVaw3lmcWS28abBwFd044IIX1M,N,[Not Applicable],[Not Applicable],[Not Applicable],gpi-corpus/laws/plain text files/english text files/original english text files,6/25/21,6/25/21,[Not Applicable],
European Union,EU Data Protection Directive (95/46/EC),[Not Applicable],EU Data Protection Directive (95_46_EC).txt,Repealed,European Union,European Union,[Not Applicable],1995,1995,Repealed in GDPR 2018,[Not Applicable],[Not Applicable],English,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:31995L0046&from=EN,Y,[Not Applicable],[Not Applicable],https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A31995L0046,gpi-corpus/laws/plain text files/english text files/original english text files,6/25/21,6/25/21,[Not Applicable],
European Union,EU Privacy and Electronic Communications Directive / ePrivacy (2002/58/EC),[Not Applicable],EU Privacy and Electronic Communications Directive _ ePrivacy (2002_58_EC).txt,In Effect,European Union,European Union,[Not Applicable],2002,2002,Coexists with GDPR; amended 2009,[Not Applicable],[Not Applicable],English,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32002L0058&from=EN,Y,[Not Applicable],[Not Applicable],https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX%3A32002L0058,gpi-corpus/laws/plain text files/english text files/original english text files,6/25/21,6/25/21,Amended by 2009/136/EC and 2006/24/EC,
European Union,EU Directive 2009/136/EC,[Not Applicable],EU Directive 2009_136_EC.txt,In Effect,European Union,European Union,[Not Applicable],2009,2009,2020,[Not Applicable],[Not Applicable],English,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:02009L0136-20201221&from=EN,Y,[Not Applicable],[Not Applicable],https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A02009L0136-20201221,gpi-corpus/laws/plain text files/english text files/original english text files,6/25/21,6/25/21,"Amends Directive 2002/22/EC, Directive 2002/58/EC, and Regulation (EC) No. 2006/2004",
European Union,Directive 2002/22/EC of the European Parliament and of the Council of 7 March 2002 on universal service and users' rights relating to electronic communications networks and services (Universal Service Directive),[Not Applicable],Directive 2002_22_EC of the European Parliament and of the Council.txt,Repealed,European Union,European Union,[Not Applicable],2002,2002,2016,[Not Applicable],[Not Applicable],English,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32002L0022&from=EN,Y,[Not Applicable],[Not Applicable],https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX%3A32002L0022,gpi-corpus/laws/plain text files/english text files/original english text files,5/30/21,5/30/21,Amended by 2009/136/EC; repealed by Directive 2018/1972,
